29.10;0.17;0.00;24.10;5.00;
29.10;18.04;0.05;24.10;5.00;
29.10;18.09;0.10;24.10;5.00;
29.10;18.13;0.15;24.10;5.00;
29.10;18.17;0.20;24.10;5.00;
29.10;18.21;0.25;24.10;5.00;
29.10;18.26;0.30;24.10;5.00;
29.10;18.30;0.36;24.10;5.00;
29.10;18.34;0.41;24.10;5.00;
29.10;18.39;0.46;24.10;5.00;
29.10;18.43;0.51;24.10;5.00;
29.10;18.47;0.56;24.10;5.00;
29.10;18.51;0.61;24.10;5.00;
29.10;18.56;0.66;24.10;5.00;
29.10;18.60;0.71;24.10;5.00;
29.10;18.64;0.76;24.10;5.00;
29.10;18.69;0.81;24.10;5.00;
29.10;18.73;0.86;24.10;5.00;
29.10;18.77;0.92;24.10;5.00;
29.10;18.81;0.97;24.10;5.00;
29.10;18.86;1.02;24.10;5.00;
29.10;18.90;1.07;24.10;5.00;
29.10;18.94;1.12;24.10;5.00;
29.10;18.99;1.17;24.10;5.00;
29.10;19.03;1.22;24.10;5.00;
29.10;19.07;1.27;24.10;5.00;
29.10;19.11;1.32;24.10;5.00;
29.10;19.16;1.37;24.10;5.00;
29.10;19.20;1.43;24.10;5.00;
29.10;19.24;1.48;24.10;5.00;
29.10;19.29;1.53;24.10;5.00;
29.10;19.33;1.58;24.10;5.00;
29.10;19.37;1.63;24.10;5.00;
29.10;19.41;1.68;24.10;5.00;
29.10;19.46;1.73;24.10;5.00;
29.10;19.50;1.78;24.10;5.00;
29.10;19.54;1.83;24.10;5.00;
29.10;19.59;1.88;24.10;5.00;
29.10;19.63;1.94;24.10;5.00;
29.10;19.67;1.99;24.10;5.00;
29.10;19.71;2.04;24.10;5.00;
29.10;19.76;2.09;24.10;5.00;
29.10;19.80;2.14;24.10;5.00;
29.10;19.84;2.19;24.10;5.00;
29.10;19.89;2.24;24.10;5.00;
29.10;19.93;2.29;24.10;5.00;
29.10;19.97;2.34;24.10;5.00;
29.10;20.01;2.39;24.10;5.00;
29.10;20.06;2.45;24.10;5.00;
29.10;20.10;2.50;24.10;5.00;
29.10;20.14;2.55;24.10;5.00;
29.10;20.19;2.60;24.10;5.00;
29.10;20.23;2.65;24.10;5.00;
29.10;20.27;2.70;24.10;5.00;
29.10;20.31;2.75;24.10;5.00;
29.10;20.36;2.80;24.10;5.00;
29.10;20.40;2.85;24.10;5.00;
29.10;20.44;2.91;24.10;5.00;
29.10;20.49;2.96;24.10;5.00;
29.10;20.53;3.01;24.10;5.00;
29.10;20.57;3.06;24.10;5.00;
29.10;20.61;3.11;24.10;5.00;
29.10;20.66;3.16;24.10;5.00;
29.10;20.70;3.21;24.10;5.00;
29.10;20.74;3.26;24.10;5.00;
29.10;20.79;3.31;24.10;5.00;
29.10;20.83;3.36;24.10;5.00;
29.10;20.87;3.41;24.10;5.00;
29.10;20.91;3.46;24.10;5.00;
29.10;20.96;3.51;24.10;5.00;
29.10;21.00;3.57;24.10;5.00;
29.10;21.04;3.62;24.10;5.00;
29.10;21.09;3.67;24.10;5.00;
29.10;21.13;3.72;24.10;5.00;
29.10;21.17;3.77;24.10;5.00;
29.10;21.21;3.82;24.10;5.00;
29.10;21.26;3.87;24.10;5.00;
29.10;21.30;3.92;24.10;5.00;
